km,stage_fit,fit_p10,fit_p90,n_points
37.1,71.8,58.3,80.7,18
37.2,72.6,58.2,80.7,17
37.3,72.6,60.3,80.9,15
37.4,72.6,60.3,80.9,15
37.5,71.8,58.4,80.8,16
37.6,71.0,58.5,80.7,17
37.7,72.6,58.7,82.6,19
37.8,73.4,55.7,84.0,17
37.9,73.4,56.5,85.8,18
38.0,73.4,55.7,86.1,17
38.1,73.4,55.7,87.1,17
38.2,71.1,57.3,86.9,19
38.3,71.0,56.5,87.0,18
38.4,71.0,57.3,86.9,19
38.5,71.0,57.3,86.9,19
38.6,70.9,56.5,85.4,18
38.7,70.8,55.7,85.6,17
38.8,70.8,54.1,85.9,15
38.9,70.9,59.9,86.1,14
39.0,70.9,59.9,86.1,14
39.1,70.9,59.9,86.1,14
39.2,70.8,59.5,86.3,13
39.3,69.6,59.2,86.4,12
39.4,69.6,59.2,86.4,12
39.5,68.0,59.5,86.3,13
39.6,69.6,62.1,86.4,12
39.7,71.1,62.2,86.6,11
39.8,69.6,65.0,85.4,8
39.9,68.0,64.6,80.7,7
40.0,68.0,64.6,80.7,7
40.1,67.5,61.4,79.7,8
40.2,67.0,61.1,73.4,7
40.3,66.2,60.6,72.9,5
41.1,62.2,28.1,65.6,5
41.2,60.9,22.8,65.4,6
41.3,60.9,22.8,65.4,6
41.4,59.5,11.7,65.1,7
41.5,59.5,11.7,65.1,7
41.6,49.0,11.0,65.4,6
41.7,49.0,11.0,65.4,6
41.8,49.0,11.0,65.4,6
41.9,49.0,11.0,65.4,6
42.0,49.0,11.0,65.4,6
42.1,49.0,11.0,65.4,6
42.2,38.6,10.2,65.6,5
42.3,38.6,10.2,65.6,5
42.4,51.3,11.0,72.0,6
42.5,51.3,11.0,72.0,6
42.6,64.1,11.7,70.9,7
42.7,59.7,12.5,69.9,8
42.8,55.4,11.7,70.9,7
42.9,55.4,11.7,70.9,7
43.0,55.4,11.7,70.9,7
43.1,55.4,11.7,81.1,7
43.2,66.2,29.0,93.2,7
43.3,77.3,39.1,105.1,7
43.4,86.8,61.8,105.1,7
43.5,90.7,62.9,104.6,8
43.6,86.8,64.0,104.0,9
43.7,83.4,55.4,102.9,11
43.8,77.3,52.6,102.0,13
43.9,77.3,52.6,102.0,13
44.0,71.8,53.3,101.1,15
44.1,74.9,54.0,100.2,17
44.2,73.3,54.3,99.7,18
44.3,74.9,54.7,99.3,19
44.4,74.9,54.7,99.3,19
44.5,73.3,53.3,98.8,20
44.6,71.8,53.5,98.4,21
44.7,73.3,53.3,98.8,20
44.8,71.8,52.0,98.4,21
44.9,73.3,52.1,98.0,22
45.0,73.3,50.0,97.2,24
45.1,73.3,50.0,97.2,24
45.2,71.8,49.7,97.6,23
45.3,71.6,49.2,90.3,21
45.4,70.0,48.0,87.5,20
45.5,70.0,39.9,90.0,22
45.6,67.0,41.0,86.5,23
45.7,65.8,42.0,84.9,24
45.8,67.7,40.2,86.4,22
45.9,67.7,42.7,84.9,24
46.0,67.7,45.2,83.3,26
46.1,67.7,43.9,84.1,25
46.2,65.1,42.7,84.9,24
46.3,64.6,41.4,79.3,23
46.4,64.6,41.4,78.3,23
46.5,65.5,43.9,79.2,25
46.6,65.9,41.8,82.3,26
46.7,65.9,41.8,82.5,26
46.8,68.8,48.0,91.2,26
46.9,67.7,48.7,90.8,27
47.0,67.7,50.1,92.4,29
47.1,67.0,49.7,93.0,28
47.2,67.7,50.3,92.4,29
47.3,67.7,51.4,91.3,31
47.4,67.7,46.9,90.3,33
47.5,67.0,47.5,89.9,34
47.6,67.0,51.7,86.5,34
47.7,68.6,51.7,86.5,34
47.8,69.5,45.8,86.6,31
47.9,67.7,45.8,86.6,31
48.0,66.3,46.8,86.5,33
48.1,64.6,46.8,86.5,33
48.2,63.6,46.2,86.5,34
48.3,60.7,45.0,86.5,34
48.4,60.6,41.3,86.4,35
48.5,60.5,39.6,86.4,37
48.6,57.1,39.6,86.5,37
48.7,57.0,39.6,86.3,37
48.8,56.0,39.6,81.0,36
48.9,55.8,39.6,74.7,35
49.0,55.8,39.6,75.9,37
49.1,55.6,39.5,74.2,37
49.2,54.8,38.9,73.9,38
49.3,52.6,34.7,69.9,37
49.4,53.3,34.3,68.8,36
49.5,52.6,31.5,68.5,37
49.6,54.0,31.5,68.5,37
49.7,52.4,31.3,65.7,36
49.8,50.9,30.8,63.8,33
49.9,48.2,27.4,63.8,33
50.0,47.1,26.3,63.3,35
50.1,46.0,25.9,61.6,33
50.2,45.3,25.8,61.8,32
50.3,44.6,25.4,62.9,29
50.4,46.0,25.2,64.0,27
50.5,46.0,25.2,64.0,27
50.6,48.2,25.0,65.0,25
50.7,48.2,24.9,61.6,23
50.8,43.0,24.3,62.9,19
50.9,40.3,24.1,63.5,18
51.0,40.3,24.1,63.5,18
51.1,37.0,23.7,61.2,16
51.2,37.0,24.9,59.5,14
51.3,39.6,23.8,60.7,10
51.4,30.4,22.9,58.0,9
51.5,30.4,22.9,58.0,9
51.6,38.9,22.0,58.5,8
51.7,29.0,21.1,53.9,7
51.8,28.1,20.2,50.3,6
54.6,24.7,18.6,32.7,5
54.7,24.7,18.8,37.7,7
54.8,24.7,18.8,37.7,7
54.9,23.6,13.7,37.7,8
55.0,23.6,11.3,37.6,10
55.1,23.6,11.3,37.6,10
55.2,24.8,11.3,37.6,10
55.3,24.8,11.3,37.6,10
55.4,24.9,11.6,37.9,11
55.5,24.9,11.6,37.9,11
55.6,24.8,11.1,37.9,12
55.7,24.7,11.2,37.8,13
55.8,24.9,11.3,39.8,15
55.9,24.8,11.3,39.5,16
56.0,24.9,11.4,39.2,17
56.1,24.9,11.5,38.6,19
56.2,25.2,11.6,38.2,20
56.3,26.3,12.1,40.8,22
56.4,27.3,12.5,40.5,23
56.5,27.3,13.4,40.9,25
56.6,27.3,12.9,41.0,24
56.7,27.3,12.9,41.0,24
56.8,27.3,11.2,41.0,24
56.9,27.4,13.4,40.9,25
57.0,27.4,13.8,40.9,26
57.1,27.3,16.6,40.9,25
57.2,27.3,16.7,40.9,26
57.3,27.4,16.9,43.6,27
57.4,27.4,16.9,42.0,27
57.5,27.4,16.9,42.0,27
57.6,27.4,16.9,42.0,27
57.7,29.0,18.0,42.0,27
57.8,29.8,18.3,42.3,25
57.9,30.2,18.5,42.6,24
58.0,30.6,18.6,42.3,25
58.1,29.8,18.6,42.3,25
58.2,29.8,20.3,42.3,25
58.3,29.4,20.0,40.5,24
58.4,29.4,20.0,40.5,24
58.5,29.0,20.3,40.4,25
58.6,29.0,22.4,39.5,23
58.7,29.4,22.5,39.8,22
58.8,31.6,23.9,40.4,20
58.9,32.1,23.9,40.4,20
59.0,32.1,24.2,42.5,22
59.1,33.3,26.2,42.5,22
59.2,34.3,26.3,42.7,21
