km,bed,stage_fit,A,W_top,W_eq,hma,W_top_5,W_top_10,W_top_20
75.1,516.9,28.4,3669,328,129,1,48,56,160
75.2,516.6,28.0,3880,360,139,1,64,72,176
75.3,515.3,27.5,1470,72,53,1,48,48,56
75.4,514.9,27.5,2864,280,104,1,32,32,40
75.5,514.5,27.4,3495,288,128,1,64,64,96
75.6,515.5,25.9,3138,280,121,1,32,96,176
75.7,512.4,25.5,1478,128,58,1,32,40,80
75.8,511.6,23.9,1539,96,64,1,56,56,80
75.9,511.1,23.9,1461,128,61,1,40,40,72
76.0,510.7,23.5,2419,216,103,1,40,56,168
76.1,509.9,23.5,1926,160,82,1,40,80,120
76.2,509.4,23.5,2863,248,122,1,40,88,224
76.3,508.5,23.0,2988,264,130,1,48,72,256
76.4,508.0,22.8,3137,240,138,1,64,104,224
76.5,507.3,23.4,2936,256,125,1,56,88,224
76.6,507.0,22.8,2758,280,121,1,56,72,256
76.7,506.6,22.8,2908,280,128,1,72,88,240
76.8,505.6,22.8,3367,368,148,1,96,96,240
76.9,504.6,22.8,2788,208,122,1,88,112,184
77.0,503.9,22.8,5151,464,226,1,72,232,392
77.1,503.7,22.8,3235,376,142,1,72,96,288
77.2,502.6,22.8,2929,344,128,1,72,88,328
77.3,501.2,22.8,2195,240,96,1,56,72,144
77.4,500.8,22.8,2832,336,124,1,48,56,312
77.5,501.5,22.8,2662,256,117,1,48,72,248
77.6,499.5,22.8,1974,216,87,1,32,56,200
77.7,499.5,22.7,2240,224,99,1,48,72,208
77.8,497.9,22.7,2136,160,94,1,80,80,152
77.9,496.9,22.7,1935,120,85,1,64,72,120
78.0,497.0,22.8,2892,224,127,1,72,88,208
78.1,496.2,22.7,2842,240,125,1,80,96,200
78.2,495.4,22.7,2885,280,127,1,72,88,216
78.3,494.8,22.0,2632,264,120,1,64,88,232
78.4,495.2,20.6,3583,328,174,1,72,128,320
78.5,495.1,20.4,2762,208,135,1,72,112,208
78.6,494.2,20.2,3762,320,186,1,104,208,320
78.7,493.3,20.2,3479,264,172,1,104,192,256
78.8,492.2,20.2,2435,208,121,1,80,120,208
78.9,490.9,20.2,2103,168,104,1,80,88,168
79.0,491.3,20.2,2843,200,141,1,104,168,192
79.1,489.7,20.0,3010,216,151,1,96,184,216
79.2,489.2,20.2,3282,272,162,1,96,160,200
79.3,488.9,20.0,3021,256,151,1,96,136,256
79.4,487.4,20.1,2999,256,149,1,80,136,248
79.5,487.3,20.2,3781,296,187,1,112,176,296
79.6,486.2,20.1,2857,216,142,1,88,152,208
79.7,485.1,20.3,2553,208,126,1,80,128,208
79.8,484.5,20.4,2368,192,116,1,80,96,192
79.9,483.5,20.4,2208,176,108,1,80,96,176
80.0,482.1,20.7,2105,184,102,1,72,88,184
80.1,481.8,20.3,1785,168,88,1,64,80,168
80.2,481.0,20.3,1932,136,95,1,80,96,136
80.3,481.7,20.3,1514,168,75,1,48,64,168
80.4,480.6,20.3,1752,232,86,1,56,64,232
80.5,478.7,20.3,1483,232,73,1,40,40,200
80.6,477.7,20.7,2294,296,111,1,64,96,280
80.7,476.7,20.4,2072,264,102,1,64,80,264
80.8,477.5,20.6,2176,176,106,1,88,96,168
80.9,476.1,20.9,1200,96,57,1,48,56,88
81.0,475.0,20.9,1604,96,77,1,72,80,96
81.1,474.1,20.9,2518,208,120,1,88,112,208
81.2,473.7,20.9,2650,240,127,1,64,112,232
81.3,474.3,20.5,2075,216,101,1,32,88,208
81.4,473.7,20.4,2446,192,120,1,88,120,192
81.5,473.1,20.3,2833,248,140,1,88,112,248
81.6,472.4,20.3,2659,272,131,1,96,112,256
81.7,471.8,20.3,2701,296,133,1,80,112,296
81.8,471.8,19.8,2350,280,119,1,32,104,288
81.9,468.4,19.7,1659,184,84,1,32,88,208
82.0,470.3,19.6,2442,272,125,1,80,120,280
82.1,469.8,19.6,2449,272,125,1,32,128,280
82.2,470.6,19.5,2908,312,149,1,88,136,320
82.3,468.9,19.3,2609,272,135,1,16,152,288
82.4,466.8,18.8,2508,240,133,1,80,104,248
82.5,468.4,18.4,2692,256,146,1,24,24,264
82.6,463.1,18.3,2179,248,119,1,56,120,256
82.7,467.2,18.2,3738,360,205,1,112,192,368
82.8,464.3,16.8,3030,336,180,1,104,208,352
82.9,464.5,16.8,3299,360,196,1,104,248,424
83.0,463.9,16.4,2791,320,170,1,96,200,336
83.1,463.2,16.2,2058,256,127,1,72,168,280
83.2,463.1,16.2,2236,264,138,1,40,192,272
83.3,463.1,15.6,3410,368,219,1,128,288,416
83.4,462.7,15.9,3459,368,218,1,128,304,480
83.5,462.3,16.1,3680,376,229,1,56,328,424
83.6,460.9,15.6,2756,312,177,1,32,280,376
83.7,462.3,15.6,3322,320,213,1,152,288,368
83.8,461.2,15.6,4005,376,257,1,216,336,440
83.9,459.6,15.6,3439,368,220,1,88,272,424
84.0,460.5,15.6,3964,488,254,1,120,208,664
84.1,458.0,15.3,1870,184,122,1,120,128,576
84.2,454.7,15.3,2482,240,162,1,152,184,336
84.3,456.4,15.5,2457,248,159,1,136,160,344
84.4,453.0,15.5,1601,216,103,1,80,104,240
84.5,451.9,16.0,1551,216,97,1,40,48,240
84.6,454.4,16.4,2283,248,139,1,40,192,272
84.7,455.0,16.4,2794,248,170,1,48,224,280
84.8,454.3,16.6,2918,248,176,1,144,216,264
84.9,453.9,16.6,2866,272,173,1,144,208,304
85.0,453.1,16.7,3107,296,186,1,136,232,368
85.1,451.3,16.9,2743,304,162,1,112,160,384
85.2,451.5,16.8,2512,288,150,1,112,136,304
85.3,451.9,17.3,2485,224,144,1,104,168,240
85.4,452.5,16.9,4768,488,282,1,88,112,496
85.5,451.1,16.7,1930,248,116,1,64,88,432
85.6,448.5,16.7,3647,336,218,1,88,240,392
85.7,448.7,16.7,1949,224,117,1,16,24,256
85.8,447.1,16.7,1957,168,117,1,104,128,200
85.9,450.6,16.7,2051,168,123,1,104,136,192
86.0,449.6,16.7,2201,200,132,1,40,144,216
86.1,445.7,17.3,2225,216,129,1,128,144,232
86.2,447.1,17.8,2541,216,143,1,144,160,240
86.3,444.4,17.9,2312,200,129,1,88,160,224
86.4,446.6,17.9,2511,224,140,1,144,144,232
86.5,445.3,18.1,3190,240,176,1,160,184,264
86.6,444.8,17.9,3549,296,198,1,176,200,312
86.7,445.6,17.2,3451,288,201,1,192,216,320
86.8,444.2,16.9,2817,264,167,1,152,192,288
86.9,444.3,16.4,2697,288,164,1,80,192,344
87.0,440.6,16.2,2207,296,136,1,80,104,504
87.1,439.5,16.6,2700,360,163,1,128,192,464
87.2,443.4,16.9,3994,512,236,1,144,184,592
87.3,444.5,16.6,4147,528,250,1,192,264,752
87.4,444.4,15.8,4600,560,291,1,176,248,656
87.5,443.9,15.8,2997,272,190,1,184,240,312
87.6,445.4,16.5,3149,272,191,1,192,232,392
87.7,443.8,16.5,3313,336,201,1,40,248,392
87.8,443.1,15.6,3112,320,199,1,184,200,400
87.9,442.0,15.6,2612,312,167,1,144,160,360
88.0,441.7,15.6,1896,288,122,1,48,104,440
88.1,441.0,15.3,2582,400,169,1,104,136,456
88.2,441.1,15.1,3434,352,227,1,168,272,384
88.3,440.4,14.3,2333,256,163,1,24,176,264
88.4,439.7,14.2,2317,216,163,1,160,184,248
88.5,438.7,14.2,1783,184,126,1,120,152,232
88.6,438.1,14.3,2105,200,147,1,80,192,352
88.7,437.9,14.2,2124,224,150,1,56,200,248
88.8,437.5,14.2,2148,216,151,1,120,208,240
88.9,437.8,14.0,1732,192,124,1,80,176,224
89.0,437.5,13.3,2203,256,166,1,16,248,264
89.1,435.6,12.3,2032,288,165,1,48,272,328
89.2,436.7,12.1,2832,320,234,1,280,304,384
89.3,435.0,11.9,2218,256,186,1,224,248,384
89.4,436.2,11.8,1744,232,148,1,40,208,328
89.5,435.2,11.8,1435,192,122,1,128,152,272
89.6,435.5,11.8,1551,232,131,1,8,192,576
89.7,435.2,11.8,2411,440,204,1,184,416,544
89.8,434.4,11.7,2688,520,230,1,40,496,656
89.9,434.5,11.7,3771,584,322,1,256,560,752
90.0,434.1,11.7,4310,688,368,1,248,640,896
90.1,433.7,11.6,4079,624,352,1,120,568,928
90.2,433.2,11.5,3666,560,319,1,96,496,864
90.3,432.3,11.4,3262,496,286,1,72,472,864
90.4,432.1,10.1,3230,576,320,1,352,576,960
