run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",71.0,28.24,25.70,19.90,31.20,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.1,28.32,25.70,20.80,34.40,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.2,28.41,25.70,19.30,33.70,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.3,27.93,25.50,18.90,33.70,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.4,27.45,25.80,19.10,33.30,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.5,26.96,25.50,16.20,33.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.6,26.48,25.40,13.70,33.30,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.7,26.08,25.40,14.10,32.70,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.8,25.68,25.20,13.90,33.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",71.9,25.28,25.10,14.30,32.30,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.0,24.89,24.80,14.50,32.00,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.1,24.27,24.40,14.30,32.30,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.2,23.65,24.40,14.70,32.70,39,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.3,23.04,24.40,14.70,32.70,39,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.4,22.42,24.40,14.70,33.70,39,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.5,22.26,24.40,15.10,33.80,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.6,22.09,23.90,15.10,33.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.7,21.93,23.90,15.10,33.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.8,21.76,22.90,15.10,32.20,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",72.9,22.65,22.40,15.10,32.30,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.0,23.53,21.50,14.90,32.40,30,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.1,24.42,20.90,14.10,30.20,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.2,25.30,20.90,14.10,30.20,26,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.3,26.35,20.90,13.70,30.40,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.4,27.40,21.40,15.10,31.50,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.5,28.44,22.10,15.10,31.50,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.6,29.49,24.80,18.10,31.70,22,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.7,30.10,26.00,18.20,32.20,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.8,30.70,27.30,18.20,32.20,23,1,1
"v10 wet near-miss (123 Mm3, 81% water)",73.9,31.31,28.00,18.20,32.20,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",74.0,31.92,28.40,18.20,32.20,24,1,1
"v10 wet near-miss (123 Mm3, 81% water)",74.1,32.50,28.60,20.40,32.30,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.2,33.08,28.60,20.60,32.60,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.3,33.65,28.50,21.30,32.50,23,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.4,34.23,28.50,20.40,32.60,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.5,34.20,28.50,20.70,31.90,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.6,34.17,28.50,21.30,31.90,20,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.7,34.13,28.50,22.00,31.80,22,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.8,34.10,28.50,19.50,32.40,24,0,1
"v10 wet near-miss (123 Mm3, 81% water)",74.9,33.95,28.50,17.30,32.40,25,0,1
"v10 wet near-miss (123 Mm3, 81% water)",75.0,33.80,28.50,17.70,33.20,27,0,1
"v10 wet near-miss (123 Mm3, 81% water)",75.1,33.65,28.40,17.90,33.10,28,0,1
